# SGP_NAIS2_2023 -- Singapore National AI Strategy 2.0 (2023). Codebook v2.0.0 first pass.
# unit_seq|T1,T2,T3,T4,T5,T6|binding_status|confidence|flag|flag_reason|justification
21|0,0,0,0,2,1|enacted|High||None|"In December 2023, MCI and Smart Nation Group convened the inaugural Singapore Conference on AI (SCAI)", gathering over 40 experts, and System 2 commits to attracting AI Creators, increasing AI Practitioners, and building a base of confident AI Users (T5=2: a convened programme plus a defined talent architecture). Drawing "local and overseas experts from academia, non-profit, industry and government" and connecting to "global networks" is international engagement short of a formalised funding cluster or standard-setting mandate (T6=1). No content, rights or surveillance mechanism appears.
22|0,0,0,0,2,1|directed|High||None|Action 5 commits Singapore to "set up a dedicated team to identify, engage, and anchor AI Creators" that "will be the primary interface" for integrating them into the ecosystem, with "bespoke support mechanisms" and novel value propositions such as hybrid working arrangements and joint appointments (T5=2, a named institutional mechanism). "Partnerships with international research institutions or companies" and attracting Creators "to work from and with Singapore" is talent competition rather than an alliance, standard-setting or control mechanism (T6=1).
23|0,0,0,0,2,1|directed|High||None|Action 6 sets a numeric target -- "boost the pool of AI Practitioners to 15,000" -- and names the instruments: re-designing the AI Apprenticeship Programme to increase annual intake, expanding company attachments for Continuing Education and Training, and scaling Pre-Employment Training (T5=2, funded workforce programmes with a target). "Remaining open to global tech talent" is immigration-competitiveness framing with no control mechanism (T6=1).
24|0,0,0,1,2,0|enacted|High||None|TechSkills Accelerator is an operating programme "driven by IMDA, in collaboration with industry, SkillsFuture Singapore, Workforce Singapore, and the National Trades Union Congress", which "has partnered industry to train individuals in AI and Data Analytics, with more than 2,700 individuals placed in good jobs thus far" (T5=2, enacted). The tripartite structure and the commitment that workers can "avoid untimely disruptions to their jobs" is worker-protective framing delivered through training rather than through co-determination rights or enforceable protections (T4=1). No content, surveillance or cross-border mechanism appears.
25|0,0,0,0,2,0|enacted|High||None|Action 7 names operating enterprise-adoption instruments: AISG's AI Readiness Index self-assessment tool, "programmes like SMEs Go Digital and CTO-as-a-Service", "refreshed Industry Digital Plans", and IMDA and EnterpriseSG's Digital Leaders Programme (T5=2, enacted -- the unit states the Government "has helped businesses" through them). All are promotional and voluntary; nothing obliges an enterprise to adopt anything. No other theme is engaged.
26|0,0,0,0,2,0|directed|High||None|Action 8 tasks "Industry Transformation Map Sector Leads" with developing "targeted interventions for their sectoral workforce", riding on the existing Jobs Transformation Maps, and records that "MAS and the Institute of Banking and Finance, with support from WSG, will be studying how Generative AI will transform the financial sector" (T5=2: named institutional programmes and studies with implementing bodies). The JTMs "identify the pathways for employers to transform jobs and for workers to acquire requisite skills", which is labour-market planning rather than an enforceable worker right, so Theme 4 is not engaged.
27|0,0,0,0,1,1|aspirational|High||None|Placemaking is argued from the example of San Francisco, with the commitment that "Singapore intends to provide more platforms which can bring our AI community together" -- an intention with no site, budget or implementing body named in this unit (T5=1). Connecting local talent "to global AI experts" is international engagement framing (T6=1). No obligation, instrument or consequence appears on any theme.
28|0,0,0,0,2,0|directed|High||None|Action 9 states that "Singapore will establish a dedicated physical place for AI in Singapore", with "a variety of purpose-built spaces", to be co-created "in close consultation with AI ecosystem representatives" -- a committed capital project with a defined purpose, which is the T5=2 anchor for funded institutional capacity. The unit creates no obligation on any external party and engages no other theme.
29|0,0,0,0,2,1|enacted|High||None|"Singapore organised the inaugural RAISE.SG in July 2023", and the Government commits to "organise more AI-related events" and "increase the cadence of AI community networking events such as the ongoing Neural Networking series" and to hold "regular gatherings of AI experts with a Singapore nexus" (T5=2, operating). Arranging "engagements with prominent foreign-based AI experts and practitioners who visit Singapore" and drawing in overseas-based Singapore-linked talent is international engagement framing (T6=1).
30|0,0,0,1,1,1|aspirational|High||None|System 3's opening states three intentions: "availing compute and data for AI innovation", "a trusted environment where AI-enabled innovations and systems are robust and safe, so that our people can engage with AI with confidence", and "safeguarding Singapore's AI interests in the international arena". Each is a goal with no instrument, addressee or consequence: infrastructure aspiration (T5=1), trust and safety aspiration with no audit, right or liability (T4=1), and a hope "to participate in shaping the international rules of the road that are emerging around AI" (T6=1).
31|0,0,0,0,2,1|directed|High||None|"Singapore must ensure reliable, localised access to high-performance compute", with explicit management of the "significant power, carbon, water, and land" the infrastructure will consume and a commitment to "direct a small proportion towards meritorious use cases that build up our local research and industry capabilities", is compute-infrastructure policy with a stated allocation rule (T5=2). "GPUs are in short supply, and we face intense global competition to access them" is supply framing without any export control, exclusion or licensing mechanism (T6=1). The objects managed are chips, power and land, so the Human Target Constraint keeps Theme 1 at 0.
32|0,0,0,0,2,1|directed|High||None|Action 10 commits the Government to "ensure that there is sufficient carbon budget and power allocated to support data centres", to "chart a roadmap towards the growth of net-zero, green data centres", and to "manage a small subset of Singapore-based GPUs or their equivalent, to support meritorious use cases" -- state allocation of scarce infrastructure inputs, which is funded institutional capacity rather than a mandate enforced by penalty (T5=2). "Deepen our substantive partnerships with major compute players, ranging from chipmakers to Cloud Service Providers, to secure local access to compute capacity" is supply-chain positioning through partnership, with no control or exclusion (T6=1).
33|0,0,0,1,2,0|directed|High||None|The unit commits to uncovering "more good data that AI Activity Drivers can leverage", to making "more government datasets available", and to supporting "the data needs of meritorious use cases that serve the Public Good" (T5=2). "Given increased concerns around data security, we should invest in Privacy-Enhancing Technologies (PETs), and other novel approaches that can address barriers around data protection and sharing" frames privacy as an enabler of data flow rather than as an enforceable protection, and no instrument, oversight body or liability is named in this unit (T4=1). The stated pivot is "away from access and availability" toward quality and trusted sharing frameworks.
34|0,2,0,2,2,0|directed|High||None|"The Government will support research and development for PETs, especially in targeted areas like synthetic data generation, data annotation, federated learning, and homomorphic encryption" is a funded privacy-technology programme with named technical targets, which is the T4=2 anchor for institutional privacy instruments. The same commitment builds general "data management capabilities... at scale" (T5=2). The commitment to "expand practical measures like regulatory sandboxes and guidelines to promote experimentation with PETs" is the T2=2 anchor: a sandbox relaxes specified requirements for enrolled participants without creating an override or a penalty.
35|0,2,0,2,2,0|enacted|High||None|"IMDA launched Singapore's first PET Sandbox in July 2022" and it "provides regulatory support to ensure that the deployment of PETs meets compliance guidelines" -- an operating regulatory sandbox compliance programme, which is simultaneously the T4=2 anchor (institutional compliance instrument, enacted) and the T2=2 anchor (a sandbox for enrolled participants). It also "provides grant support to user companies to scope and implement pilot projects" (T5=2). Nothing here obliges any party or attaches a penalty, so no theme reaches 3.
36|0,0,0,1,2,1|directed|High||None|Action 12 will "assess the feasibility of setting up a data concierge within the Government" to broker data sharing agreements, work upstream with agencies to collect data to a client's specification, and act as "a trusted intermediary" for private-sector data -- a named institutional mechanism for unlocking data (T5=2). The "data-sharing evaluation framework that takes the Public Good dimension into account" is a governance rule for the Government's own disclosure decisions rather than a right or protection owed to data subjects (T4=1). "Advocating for trusted cross-border data flows" is international positioning without any instrument (T6=1).
37|0,1,1,1,1,0|aspirational|Moderate||None|"The Government will institutionalise appropriate governance and security frameworks for AI systems" is stated as an aim with no framework, body or timeline named in this unit (T4=1). "We must retain agility in our regulatory approaches" and "supporting experimentation and innovation" states a deliberately light regulatory posture without naming any exemption or override (T2=1). The requirement that "the output of models is not biased, inaccurate, or erroneous" and that "AI models should also be aligned with the appropriate set of human and cultural values" is a statement about the informational character of model output with no mechanism attached (T3=1). Confidence is Moderate: the unit describes a posture rather than an instrument.
38|0,0,1,1,1,0|aspirational|Moderate||None|Naming the misuse of AI to "supercharge existing threats (e.g. scams, cyberattacks, and mis/disinformation) in terms of scale, speed, and sophistication" is a statement of concern about the information environment with no obligation attached (T3=1). "The Government will take differentiated approaches to managing risks to and from AI, ranging from regulatory moves to voluntary guidelines" leaves the instrument explicitly undetermined, so Theme 4 stays at rhetoric (T4=1); discrimination and anti-competitive harms are named as risks rather than as regulated conduct. "Maintain digital trust" supplies the economic framing (T5=1).
39|0,1,0,2,0,0|directed|High||None|"We will regularly review and adjust frameworks like the Model AI Governance Framework and AI Verify to reflect emerging principles, concerns, and technological developments" commits to maintaining named, existing institutional governance instruments and to "establish clear responsibilities for actors across the AI supply chain", which is the T4=2 anchor for institutional frameworks short of enforceable liability -- the unit calls the result "baseline guidance". "Maintain a regulatory environment for AI that is pro-innovation while ensuring appropriate guardrails" is regulatory posture with no exemption named (T2=1). No funding, compute or workforce mechanism appears in this unit, so T5=0.
40|0,2,2,2,2,2|enacted|Moderate|YES|Polysemic Uncertainty|AI Verify is an operating testing framework and toolkit released by IMDA in May 2022, and "in June 2023, IMDA also set up the AI Verify Foundation" -- named institutional governance instruments in force, though voluntary and open source (T4=2, enacted). "Pilots for solutions such as watermarking and model cards" is almost verbatim the T3=2 anchor for state-funded provenance and synthetic-media work. "Regulatory sandboxes" is the T2=2 anchor; "capability development to nurture a domestic Testing, Inspection, and Certification (TIC) sector" is funded industrial capacity (T5=2); and the international pilot plus contributing "to international discourse on AI governance... to shape rules around AI" is funded participation in international standard-setting (T6=2). Confidence is Moderate because five themes sit at 2 in one dense unit; flagged on the mandatory T3 trigger and the tie at 2.
41|0,0,0,1,2,2|enacted|High||None|Dr He Ruimin, Singapore's Chief AI Officer, "has been selected as one of the members" of the UN High-Level Advisory Body on AI, which is participation in a named international governance body (T6=2, enacted). Action 14 commits to updating "cybersecurity toolkits for enterprises and individual users", developing "standards and solutions for AI security", and co-creating technical guidelines with the private sector -- cybersecurity protecting system integrity, which the Theme 3 boundary note routes to Theme 5 (T5=2). "Joint red teams to test AI systems" is voluntary, crowdsourced evaluation rather than a mandatory audit (T4=1).
42|0,0,0,1,0,1|aspirational|High||None|The unit is diagnostic about the international landscape: "AI has become a major front of competition", "global powers like the US and China dominate the global AI landscape", and technologies like AI are "a pre-eminent domain for geostrategic contestation". Singapore's own commitment is to "continue to participate constructively at international fora on AI" and to urge countries to "set aside the instincts of protectionism" -- engagement framing with no named forum, funding or instrument in this unit (T6=1). Support for "the responsible development and deployment of AI" and making "AI systems safer" is governance rhetoric (T4=1). No domestic economic, compute or workforce mechanism is asserted here, so T5=0.
43|0,0,0,1,1,2|directed|High||None|Action 15 commits to "anchoring key bilateral relationships with selected partners from government and industry, through substantive initiatives and technical cooperation", to active participation in "multilateral, multi-stakeholder, or plurilateral initiatives", and to developing "AI-related capacity building initiatives to benefit the 108 members" of the Forum of Small States, which Singapore convenes -- formalised international engagement programmes (T6=2). These are cooperation and standard-shaping mechanisms, not export controls or exclusions, so the Score-3 Evidence Test is not reached. AI Verify and Pair are referenced as existing assets rather than funded here (T5=1); governance framing is rhetorical (T4=1).
44|0,0,0,0,1,2|enacted|High||None|"The third edition of ATxSG, organised by IMDA, was held in June 2023, and brought together over 17,000 global leaders and industry decision-makers", with the ATxAI Conference convening "policy makers from leading AI countries" -- an operating international convening platform run by a named state agency (T6=2, enacted). Empowering "the technology community to discuss the latest trends" and showcasing "real-life implementations of AI" is ecosystem framing rather than a funded domestic programme (T5=1). No content, rights or surveillance mechanism appears.
45|0,0,0,0,1,1|aspirational|High||None|The closing statement commits to "actively forge multiple partnerships across our economy, society, and the world" and asserts that AI "will contribute to Singapore's sustained economic growth and the global competitiveness of our industries" while creating "better jobs, a more productive labour force" (T5=1: economic vision with no instrument). "Designed to unfold as a national movement on the global stage" and the invitation to "all who share our vision of AI for the Public Good" is international framing (T6=1). No obligation, funding commitment or mechanism appears.
