# IND_NAIS_2018 -- NITI Aayog National Strategy for Artificial Intelligence (2018). Codebook v2.0.1 first pass.
# Document class C: a discussion paper. Its own text states that "specifics (e.g. execution and
# financial implications) have been consciously avoided", so most units carry binding_status "proposed".
# unit_seq|T1,T2,T3,T4,T5,T6|binding_status|confidence|flag|flag_reason|justification
16|0,0,0,0,1,1|proposed|High||None|"Solved in India (or more accurately, solved by Indian IT companies) could be the model going forward for Artificial Intelligence as a Service (AIaaS)" and the claim of a "proven track record in technology solution provider of choice" is service-export positioning with no instrument (T6=1). The reference to AI "capable of imparting quality education to India's linguistically diverse population" and to India's IT competence is economic framing (T5=1). Nothing is committed, funded or required.
17|0,0,0,0,1,0|proposed|High||None|A catalogue of potential sectoral use cases -- "AI driven diagnostics, personalised treatment, early identification of potential pandemics" in healthcare; crop yield, pest detection and price prediction in agriculture; autonomous fleets and traffic management in mobility; personalisation and inventory management in retail (T5=1: illustrative use cases with no programme, budget or implementing body). Pandemic identification is epidemiological rather than individual monitoring, and the mobility and retail cases observe vehicles, engines and inventory, so Theme 1 is not engaged.
18|1,0,0,0,1,0|proposed|High||None|Further sectoral use cases in manufacturing, energy, smart cities and education, presented as potential rather than as commitments (T5=1). Among them, "enhanced security through improved crowd management" in smart cities is crowd analytics, an explicit Theme 1 indicator whose object is people, but it appears as a one-line potential use case with no programme, budget or implementing body -- the T1=1 anchor. The education case, "predicting the need for student intervention to reduce dropouts or recommend vocational training", scores individuals for their own benefit and so falls to Theme 5 under the purpose test; energy and manufacturing observe grids and plant.
19|0,0,0,1,1,0|proposed|Moderate||None|An analysis of what has driven sectoral AI adoption, concluding that "compelling business use cases... have been the biggest driver". "Regulatory barriers, privacy considerations, ethical issues, preference for human relationship have all played their roles in determining the readiness of a sector" names privacy and ethics as adoption factors without proposing any instrument, right or safeguard (T4=1); the adoption and investment analysis is economic context (T5=1). Confidence is Moderate because the unit reports survey findings rather than policy.
20|0,0,0,0,1,1|proposed|High||None|A description of adoption in banking and manufacturing, including "development of credit scores through analysis of bank history or social media data; and fraud analytics for proactive monitoring and prevention of various instances of fraud, money laundering, malpractice, and the prediction of potential risks". These profile and score identified individuals, but the actors are banks and firms operating commercially; Theme 1 covers state monitoring of persons, so it is not engaged, and the practice is recorded here as market description rather than as proposed policy (T5=1). India being "ranked 3rd in the world in AI implementation in manufacturing, ahead of nations such as Germany" is comparative framing (T6=1).
21|0,0,0,0,2,0|proposed|High||None|"NITI Aayog has evaluated various sectors that will be impacted by AI and has taken a conscious decision to focus on a select set of sectors where only private sector led initiatives will not lead to achieving desired societal outcomes" -- a decided sectoral prioritisation with a stated selection rule, which is programmatic direction rather than vision (T5=2), though still a recommendation in a discussion paper. The argument is that "externalities from adoption of AI far outweigh the economic returns realised by private initiatives, and hence the role of government becomes pivotal". No other theme is engaged.
22|0,0,0,0,1,0|proposed|High||None|The unit completes the focus-sector list and introduces the "AI + X" paradigm -- "take an existing process, and add AI" -- as an analytical frame for identifying incremental value, explicitly noting that AI today "should thus be regarded as an enhancement, or enabler of increased efficiency in previously existing processes" (T5=1: a conceptual framework with no programme or instrument). Smart Mobility is motivated by congestion, pollution and road accidents, which observes traffic rather than persons.
23|0,0,0,0,1,0|proposed|High||None|A diagnostic profile of Indian healthcare: market size "expected to grow to USD280 billion by 2020", shortages of "0.76 doctors and 2.09 nurses per 1,000 population" against WHO benchmarks, non-uniform access, and the Tata Memorial Hospital catchment illustration (T5=1: sectoral economic and capacity analysis with no instrument, programme or commitment). No governance, content, surveillance or cross-border mechanism appears in the unit.
24|0,0,0,0,2,0|enacted|High||None|"The Government of India has been making a series of large scale interventions to address India's healthcare challenges, viz. transformation of 1.5 lakh Health and Wellness Centers, developing district hospitals to cater to long-term care for non-communicable diseases, Ayushman Bharat Mission, promoting e-Health" -- named, operating government programmes at national scale (T5=2, enacted). The remainder documents affordability and out-of-pocket expenditure. Universal Health Coverage is described as a policy commitment rather than as an enforceable right, so Theme 4 is not engaged.
25|1,0,0,0,2,0|enacted|Moderate||None|"Through the Ayushman Bharat programme announced in Union Budget 2018... the Government of India has embarked on a path breaking journey", providing "insurance cover of INR 5 lakh per family per year" to "more than 10 crore families", alongside "a commitment of ~INR1,200 crore for Health and Wellness Centres" transforming 1.5 lakh Health Sub Centres from 2018 to 2022 (T5=2, enacted -- budgeted programmes at national scale). Beneficiaries are identified "based on the SECC database", a state population database governing access to a major benefit: that is data aggregation about identified individuals used for eligibility determination, which registers on Theme 1 at the level of a named capability with no monitoring or control purpose stated (T1=1). Confidence is Moderate because eligibility conferral sits at the edge of the Theme 1 purpose test. At 389 words the unit exceeds the ceiling and is flagged.
26|1,0,0,0,2,0|directed|Moderate||None|"A key component of HWCs will be universal screening for NCDs", and the government aims to establish "the National eHealth Authority (NeHA) which will strategise eHealth adoption, define standards and a framework for the health sector", "the Integrated Health Information Program (IHIP) to provide EHR to all citizens of India", and Electronic Health Record Standards -- named institutions and a national health data architecture (T5=2). An electronic health record "for all citizens of India" is population-scale aggregation of individual data by the state; its purpose is care delivery, which the purpose test routes to Theme 5, but the capability itself is named and universal, so Theme 1 registers at 1. Confidence is Moderate, and it is notable that the unit describes an all-citizen EHR with no accompanying privacy safeguard, which is an absence rather than a Theme 4 score.
27|0,0,0,0,1,0|proposed|High||None|Market and opportunity description for AI in Indian healthcare: the global AI healthcare market "expected to register an explosive CAGR of 40% through 2021", and the claim that "AI solutions can augment the scarce personnel and lab facilities" and "help overcome the barriers to access" (T5=1: opportunity framing with no programme, budget or implementing body committed in this unit). The applications described are diagnostic and treatment support for the patients concerned, so the Theme 1 purpose test is not engaged, and no governance, content or cross-border mechanism appears.
28|0,0,0,0,2,0|directed|High||None|"NITI Aayog is in an advanced stage for launching a programme to develop a national repository of annotated and curated pathology images", entailing "a move towards 'Digital Pathology', which entails all glass slides generated being scanned at high resolution and magnification, followed by accurate, precise and comprehensive annotation" -- a named programme with specified components at the point of launch (T5=2, directed). The repository holds clinical images used to support diagnosis for the patients concerned, so the purpose test places it in Theme 5; the unit describes no consent, governance or privacy mechanism for the repository, which is an absence rather than a Theme 4 score.
29|0,0,0,0,2,0|enacted|High||None|"NITI Aayog is working with Microsoft and Forus Health to roll out a technology for early detection of diabetic retinopathy as a pilot project", integrating "Microsoft's retinal imaging APIs" into the portable 3Nethra device so it works "in remote areas with nil or intermittent connectivity to the cloud" -- an operating pilot with named partners and a defined deployment setting (T5=2, enacted). Retinal screening identifies disease in the person screened for that person's care, so the Theme 1 purpose test is not met.
30|0,0,0,0,2,0|enacted|High||None|"The Government of India has recently prioritised Doubling Farmers' Income as a National Agenda; putting considerable focus on supply chain perspectives in agriculture and market development in addition to productivity augmentation" -- a named national programme already in force (T5=2, enacted). The remainder analyses the sector's dependence on unpredictable variables, land degradation and pest resistance. The objects of concern are soil, water, crops and markets, so the Human Target Constraint keeps Theme 1 at 0.
31|0,0,0,0,1,0|proposed|High||None|A diagnosis of agrarian distress: fluctuating growth, "globalised value chains leading to variability in commodity prices", monsoon variability, and "structurally inefficient domestic agricultural markets", with the observation that "there is no functional mechanism to track the capacity of storage facilities available to the farmer" (T5=1: sectoral analysis identifying gaps, with no instrument, programme or commitment). The tracking gap concerns storage capacity, which is physical infrastructure.
32|0,0,0,0,1,1|proposed|High||None|Market sizing for AI in agriculture -- "USD432 million in 2016... expected to grow at the rate of 22.5% CAGR to be valued at USD2.6 billion by 2025" -- alongside smartphone and internet penetration figures and the claim that "digital farming and connected farm services can impact 70 million Indian farmers in 2020, adding USD9 billion to farmer incomes" (T5=1: market context with no Indian instrument). "Globally, digital and AI technologies are helping solve pressing issues across the agriculture value chain" is comparative framing (T6=1).
33|0,0,0,0,1,0|proposed|High||None|A description of private AgTech activity: "approximately 50 Indian agricultural, technology based startups ('AgTech') raised USD313 million", with named examples using image recognition, drones and satellite imagery for yield prediction and soil health (T5=1: market description, not a state programme). "Image recognition and deep learning models have enabled distributed soil health monitoring without the need of laboratory testing infrastructure" observes soil and foliage -- things -- so Theme 1 is not engaged.
34|0,0,0,0,1,0|proposed|High||None|Potential use cases in crop health monitoring: "AI can be used to predict advisories for sowing, pest control, input control", with agronomic factors "monitored up to the farm level through remote sensing", and image classification for weed removal, disease identification and harvesting (T5=1: illustrative use cases with no programme or commitment). The monitoring described is of crops, soil moisture and farm machinery, which the Theme 1 negative boundary routes explicitly to Theme 5.
35|0,0,0,0,2,0|enacted|High||None|"Microsoft in collaboration with ICRISAT, developed an AI Sowing App... The app sends sowing advisories to participating farmers on the optimal date to sow", and "in 2017, the program was expanded to touch more than 3,000 farmers across the states of Andhra Pradesh and Karnataka", with measured yield increases "ranged from 10% to 30% across crops" -- an operating deployment at documented scale with measured outcomes (T5=2, enacted). Advisories are sent to farmers about their own fields; the data observed is weather, soil and crop phenology.
36|0,0,0,0,2,0|enacted|High||None|"NITI Aayog and IBM have partnered to develop a crop yield prediction model using AI to provide real time advisory to farmers", drawing on "data from remote sensing (ISRO), soil health cards, IMD's weather prediction and soil moisture/temperature, crop phenology", and "the project is being implemented in 10 Aspirational Districts across the States of Assam, Bihar, Jharkhand, Madhya Pradesh, Maharashtra, Rajasthan and Uttar Pradesh" -- an operating multi-state deployment with named partners and data sources (T5=2, enacted). The data fused is environmental and agronomic, not personal.
37|0,0,0,0,1,0|proposed|High||None|A diagnosis of Indian school education: "retention rate of 70.7% at elementary level indicates that one-third of enrolled children drop out before completing Class 8", National Achievement Survey results showing that "over 60% of Class 5 students scored below 50% across subjects", and structural constraints such as multi-grade classrooms (T5=1: sectoral analysis with no instrument or programme committed). The National Achievement Survey is an assessment of learning outcomes at system level rather than a monitoring programme directed at identified individuals.
38|0,0,0,0,1,0|proposed|High||None|Continued diagnosis: children "at risk of dropout due to various factors, such as inadequate school infrastructure, poor teachers, poor school readiness, language barriers", teacher vacancies "due to uneven distribution across different geographical areas", and generic teacher training that "end[s] up as wasted public expenditure" (T5=1: problem statement with no instrument). Dropout risk is discussed as a category of children to be helped, not as a scoring system to be built, so Theme 1 is not engaged in this unit.
39|0,0,0,0,1,0|proposed|Moderate||None|Survey evidence on technology adoption in schools: "83% of the teachers surveyed use computers", but "a meagre 41% and 27% use technology for tracking student data and participating in forums respectively", and trained teachers are markedly more likely to use available technology (T5=1: adoption diagnostics with no programme or commitment). Confidence is Moderate because the unit reports third-party survey findings rather than policy. Student-data tracking is reported as an existing low-uptake teacher practice, not as a state monitoring programme.
40|0,0,0,0,1,0|proposed|High||None|EdTech market sizing -- India's digital learning market "projected to grow at a CAGR of 30%, reaching USD5.7 billion in 2020" -- and venture funding examples (T5=1: market description). The one forward-looking claim is a precondition rather than a commitment: "implementation of AI must be preceded by efforts to digitise records of teacher performance, student performance, and curriculum". That digitisation would aggregate individual records, but it is stated as a data-readiness prerequisite for educational delivery rather than for security, enforcement or control, so the Theme 1 purpose test is not met.
41|0,0,0,0,1,0|proposed|High||None|Illustrative education use cases: intelligent tutoring "adapted to the child's proficiency level, learning style, and pace of learning", GradeGuardian's "Advisor Console that shows students at risk", and Content Technologies' customised material generation (T5=1: third-party products described as adaptable to India, with no programme, budget or commitment). Assessment of "student's level of attention or comprehension to appropriately design remedial instruction" profiles the learner in order to teach that learner, which the Theme 1 purpose test places in Theme 5.
42|0,0,0,0,2,0|enacted|Moderate|YES|Polysemic Uncertainty|"The AP government... has tied up with Microsoft" so that "based on specific parameters, such as gender, socio-economic demographics, academic performance, school infrastructure and teacher skills, an application powered by Azure Machine Learning processes the data pertaining to all students to find predictive patterns", and it "has identified about 19,500 probable dropouts from government schools in Visakhapatnam district" -- an operating state deployment at documented scale (T5=2, enacted). This is the case the Theme 1 purpose test (codebook 2.0.1) was written for: the state scores every student on protected characteristics, but the stated consequence is that "district education officials can intervene and help students who are most likely to drop out", a benefit to the person scored, so it falls to Theme 5. Flagged manually for adjudication because the profiling is population-scale and uses gender and socio-economic status, with no safeguard described.
43|1,0,0,0,1,0|proposed|Moderate||None|"AI tools can be used to develop automated teacher posting and transfer systems, using analytics based on demand-supply gaps across schools in the State, candidate's prior postings, candidate preferences", and adaptive tools could generate professional development content "based on their performance, identification of their knowledge and skill gaps" (T5=1: recommended mechanisms with no programme, budget or implementing body). Automated posting and transfer produces a decision about where an identified public employee must work, which is administrative allocation with a consequence for the individual rather than a benefit conferred on them, so Theme 1 registers at the T1=1 anchor. Confidence is Moderate because personnel administration sits at the edge of the Theme 1 purpose test.
44|0,0,0,0,2,0|enacted|High||None|"The Government of India has embarked on an ambitious initiative to set up Smart Cities across India... As part of the Smart Cities Mission, 99 cities have been selected with expected investment of INR2.04 lakh crores" -- a named, funded, operating national programme with defined strategic components (T5=2, enacted). "High crime rates" appears in the diagnosis of unplanned urbanisation but no surveillance or policing mechanism is described in this unit.
45|2,0,0,0,2,0|enacted|Moderate|YES|Polysemic Uncertainty|The unit contains both kinds of monitoring and is dual-coded. Smart electricity and water meters, leakage detection and waste management observe utilities and distribution networks -- things -- within operating smart-city programmes (T5=2, enacted). "Improving public safety: Cities in India today are hotbeds for a range of crimes. Smart cities aim to address the issues of increase in crime and increased risk of urban emergencies through improved city design and surveillance analytics", evidenced by Surat's network of "more than 600 surveillance cameras which will be expanded to all major locations in the city", observes people (T1=2). Under codebook v1 the smart-municipal-grid boundary would have routed the camera network to Theme 5; the v2 boundary clarification reverses that. Flagged on the mandatory T1 trigger.
46|1,0,0,0,1,0|proposed|High||None|Smart-city use cases stated as possibilities: "use of AI to monitor patronage" of parks and public facilities to control lighting and maintenance, smart homes, and "predictive service delivery on the basis of citizen data" (T5=1: illustrative applications with no programme or commitment). Monitoring patronage of public spaces and predicting service needs from citizen data observes people, but no programme, budget, implementing body or enforcement consequence is described, which is the T1=1 anchor. Cybersecurity risk to city-scale infrastructure protects system integrity and belongs to Theme 5.
47|2,0,1,0,1,0|enacted|High|YES|Polysemic Uncertainty|"AI technology could provide safety through smart command centres with sophisticated surveillance systems that could keep checks on people's movement, potential crime incidents, and general security of the residents", and "in the city of Surat, the crime rate has declined by 27% after the implementation of AI powered safety systems" -- the outcome claim establishes that the system is operating, not proposed, which is the T1=2 anchor (binding_status enacted). "Social media intelligence platforms can provide aid to public safety by gathering information from social media and predicting potential activities that could disrupt public peace" is state monitoring of the public information space without any removal, labelling or platform obligation (T3=1). Cyber-attack detection protects infrastructure integrity and is Theme 5 baseline (T5=1). Flagged on the mandatory T1 trigger.
48|0,0,0,0,1,0|proposed|High||None|Sectoral context for mobility: roads and railways carrying "almost 87% of total freight traffic" and "almost 90% of total traffic", the sector's emissions intensity, and the need for "efficient and safe transportation of both people and goods" (T5=1: sectoral analysis with no instrument, programme or commitment). The objects discussed are modal shares, freight and emissions.
49|0,0,0,0,1,0|proposed|High||None|Road safety statistics: "the total number of road accidents in the country during 2015 was 501,423 which resulted to 146,133 fatalities", the disproportionate share of National Highways, and the lagging development of public transport infrastructure (T5=1: sectoral diagnosis with no instrument). Accident and modal-share data are aggregate transport statistics, not monitoring of identified individuals.
50|0,0,0,0,1,1|proposed|High||None|"Investing in the suite of autonomous vehicle technologies and exporting such vehicles represents a significant economic opportunity for India", and "it would be wise for Indian manufactures to invest in research and development of the broader suite of technologies that are essential for assistive AI" (T5=1: an investment recommendation addressed to manufacturers, with no state programme or funding). The export opportunity is competitiveness framing with no control or agreement mechanism (T6=1). The systems described assist drivers and hand control back on driver input.
51|0,0,0,0,2,0|enacted|High||None|"The recent initiative of the Government of India for announcing development of 100 Smart Cities is aimed at addressing this anomaly and catalyse smart strategies for urban planning which promote sustainable land use design and multimodal integration" -- a named national programme already announced (T5=2, enacted), with AI applied to "scheduling public transportation systems", accessibility and "real-time travel mode advisory based on predicted traffic situation". The objects optimised are schedules, traffic flow and greenfield road geometry.
52|2,0,0,0,2,0|proposed|Moderate|YES|Polysemic Uncertainty|"Through the use of an intelligent traffic management system including sensors, CCTV cameras, automatic number plate recognition cameras, speed detection cameras... and stop line violation detection systems and the use of AI, real time dynamic decisions on traffic flows such as lane monitoring, access to exits, toll pricing... enforcing traffic regulations through smart ticketing etc. can be made", with accident heat maps built from "driver behaviour at specific locations". Number-plate recognition, speed and violation detection identify vehicles and their drivers and issue penalties automatically: the purpose is enforcement, which the Theme 1 purpose test squarely covers, and the mechanism is specified in enough operational detail to exceed the "named without a programme" level (T1=2). Intelligent traffic management is simultaneously funded transport infrastructure (T5=2). Confidence is Moderate because the unit presents the system as what "can be made" rather than as a funded deployment; flagged on the mandatory T1 trigger.
53|0,0,0,0,2,0|directed|High||None|"Recently, the Ministry of Railways, Govt. of India has decided to use AI to undertake remote condition monitoring using non-intrusive sensors for monitoring signals, track circuits, axle counters and their sub-systems of interlocking, power supply systems including the voltage and current levels, relays, timers" -- a decided programme by a named ministry with specified scope (T5=2, directed). Every object monitored is rolling stock, signalling or power plant, which the Theme 1 negative boundary routes explicitly to Theme 5. Parking optimisation and vehicle-grid interaction are likewise infrastructure.
54|0,0,0,0,1,1|proposed|High||None|A description of the global autonomous-vehicle research frontier: "most of the large investments in AI have been made in the field of autonomous vehicle", falling object-classification error rates, and the argument that "AI algorithms trained on Indian driving data have the potential to be very robust" (T5=1: market and technical context with no Indian instrument or commitment). The claim that Indian conditions produce globally valuable training data is competitiveness framing (T6=1).
55|0,0,0,0,1,0|proposed|High||None|An analysis of why sectoral barriers are common rather than sector-specific, using healthcare as the example: "while India has adopted electronic health record (EHR) policy, sharing of data between various hospital chains still remains a work in progress, since different hospital chains have adopted different interpretations of 'digitising records'" (T5=1: a diagnosis of interoperability failure with no instrument proposed here). The EHR policy is named without any of its content described, and the point made about it is technical rather than rights-based.
56|0,0,0,0,2,1|proposed|High||None|The unit closes the challenge analysis and opens the recommendations: "these recommendations have been formulated as fundamentally infrastructural in nature, and hence span across sectoral use cases", requiring "large scale transformational interventions, primarily led by the government, with private sector prov[iding]" support (T5=2: a programme of infrastructural interventions with a defined state-led delivery model, still at recommendation stage). "A desire to assume leadership in this nascent technology" is competitiveness framing (T6=1). At 351 words the unit is one word over the ceiling and is flagged.
57|0,0,0,0,2,0|proposed|High||None|"Government of Karnataka's intention to set up a Centre of Excellence in AI in partnership with NASSCOM" is noted as an encouraging development, and "the first set of recommendations focus on turbocharging both core and applied research", with "two frameworks for solving some of AI's biggest research challenges through collaborative, market oriented approach" proposed alongside a workforce response to automation (T5=2: a defined research and skilling programme with named framework elements, at recommendation stage). No obligation, right, content or cross-border mechanism appears. At 341 words the unit sits inside the ceiling.
58|0,0,0,1,2,0|proposed|High||None|"Our recommendations to address these challenges include developing large foundational annotated data sets to democratise data and multistakeholder marketplaces across the AI value chain (data, annotated data and AI models)" (T5=2, proposed). "One of the key aspects of our ambition of #AIforAll includes responsible AI: ensuring adequate privacy, security and IP related concerns and balancing ethical considerations with need for innovation" states an ambition with no framework, body or obligation attached (T4=1). The unit is explicit that "the recommendations... are descriptive rather than prescriptive by design" and that specific funding targets have been "consciously avoided".
59|0,0,0,0,1,1|proposed|High||None|A diagnosis of India's research position: "India produced a whopping 2.6 million STEM graduates in 2016, second only to China and more than 4 times the graduates produced by USA", yet "India sees itself lagging considerably in producing world-class research and innovation in most technology fields, more so in AI" (T5=1: capacity analysis with no instrument or programme committed here). The comparison with China and the USA is competitiveness framing (T6=1). At 362 words the unit exceeds the ceiling and is flagged.
60|0,0,0,0,1,1|proposed|High||None|Further research diagnostics: "if we look at the country wise H-Index... India ranks a dismal 19th globally", and publication output is "heavily skewed in favour of top-15 institutes, that in total have contributed more than 42% of all research publications from 2001-2016" (T5=1: bibliometric analysis identifying a concentration problem, with no instrument proposed in this unit). The global ranking comparison is competitiveness framing (T6=1).
61|0,0,0,0,1,1|proposed|Moderate||None|"Looking at all the research publications from 2001-2016, only 14% of all publications have come from industry, with universities contributing 86%", and even that industry share "is dominated by Indian subsidiaries of international companies (~70%), with only one Indian company in top-10 (TCS)" (T5=1: a diagnosis of weak industrial research with no instrument). The dependence on foreign-owned subsidiaries is noted as a competitiveness weakness (T6=1). Confidence is Moderate because the unit is a short statistical fragment continuing the previous analysis.
62|0,0,0,0,1,1|proposed|High||None|A description of the United States position: "The US Government is estimated to have spent USD1.2 billion in non-classified research in 2016-18 and the Defence Advanced Research Projects Agency (DARPA) is seeking a budget of USD3.44 billion in fiscal year 2019-20", with US firms dominating enterprise AI (T5=1: another country's instruments described, none adopted here). The account of US digital ecosystems and unicorn concentration is comparative competitiveness framing (T6=1).
63|0,0,0,0,1,1|proposed|High||None|A description of China's approach: "a new development plan to create a USD150 billion domestic AI industry", "a national fund that supports research", government funding for AI schools at "the top 9 universities", and the Ministry of Industry and Information Technology "planning to put nearly USD950 million dollars per year into strategic AI projects for State Owned Enterprises and the public sector" (T5=1: a foreign state's industrial policy described, not adopted). "China has clear ambitions to be at the same level as the US by 2020 and the world leader in AI by 2030" is geostrategic framing (T6=1).
64|0,0,0,0,1,1|proposed|High||None|A description of the United Kingdom's position: the value of "a plan with a governance structure and clear milestones" for inward investor confidence, Cambridge and Oxford as innovation centres, the DeepMind, VocalIQ and SwiftKey acquisitions, and Leverhulme Trust funding of "GBP80 million for research" (T5=1: another country's arrangements described). The framing is explicitly comparative -- what makes a country attractive to inward AI investment (T6=1).
