"page","col","y","n_words","text","drop_reason","doc_id"
10,1,680,19,"13 Stevenson-Wydler Technology Innovation Act of 1980, Pub. L. No. 96-480, 94 Stat. 2311 (codified as amended in scattered","footnote_small_type","USA_AIAP_2025"
10,1,690,4,"sections of 15 U.S.C.).","footnote_small_type","USA_AIAP_2025"
10,1,700,10,"14 Defense Production Act of 1950, 50 U.S.C. §§ 4551-4568.","footnote_small_type","USA_AIAP_2025"
10,1,710,15,"15 National Defense Authorization Act for Fiscal years 1990 and 1991, 10 U.S.C. §§ 4021-4022.","footnote_small_type","USA_AIAP_2025"
10,1,735,1,"7","page_number","USA_AIAP_2025"
11,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
11,1,735,1,"8","page_number","USA_AIAP_2025"
12,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
12,1,85,11,"agencies while protecting confidential data from inappropriate access and use. 16","toc_line","USA_AIAP_2025"
12,1,710,14,"16 Confidential Information Protection and Statistical Efficiency Act of 2018, 44 U.S.C. §§ 3561-3583.","footnote_small_type","USA_AIAP_2025"
12,1,735,1,"9","page_number","USA_AIAP_2025"
13,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
13,1,735,1,"10","page_number","USA_AIAP_2025"
14,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
14,1,655,18,"17 Office of Management and Budget, “Accelerating Federal Use of AI through Innovation, Governance, and Public Trust (M-25-","footnote_small_type","USA_AIAP_2025"
14,1,665,10,"21),” (Washington, DC: Executive Office of the President, 2025), www.whitehouse.gov/wp-content/uploads/2025/02/M-25-","footnote_small_type","USA_AIAP_2025"
14,1,674,1,"21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf.","footnote_small_type","USA_AIAP_2025"
14,1,684,16,"18 Office of Management and Budget, “Driving Efficient Acquisition of Artificial Intelligence in Government (M-25 22),”","footnote_small_type","USA_AIAP_2025"
14,1,694,9,"(Washington, DC: Executive Office of the President, 2025), www.whitehouse.gov/wp-content/uploads/2025/02/M-25-22-","footnote_small_type","USA_AIAP_2025"
14,1,704,1,"Driving-Efficient-Acquisition-of-Artificial-Intelligence-in-Government.pdf.","footnote_small_type","USA_AIAP_2025"
14,1,735,1,"11","page_number","USA_AIAP_2025"
15,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
15,1,710,19,"19 TAKE IT DOWN Act, Pub. L. No. 119-12, 139 Stat. 55 (2025) (codified as 47 U.S.C. § 223(h)).","footnote_small_type","USA_AIAP_2025"
15,1,735,1,"12","page_number","USA_AIAP_2025"
16,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
16,1,151,3,"forensic benchmark. 20","toc_line","USA_AIAP_2025"
16,1,690,17,"20 Haiying Guan, James Horan, and Andrew Zhang, “Guardians of Forensic Evidence: Evaluating Analytic Systems Against AI-","footnote_small_type","USA_AIAP_2025"
16,1,700,13,"Generated Deepfakes,” (Gaithersburg, MD: National Institute of Standards and Technology, January 27, 2025),","footnote_small_type","USA_AIAP_2025"
16,1,710,1,"www.nist.gov/publications/guardians-forensic-evidence-evaluating-analytic-systems-against-ai-generated-deepfakes.","footnote_small_type","USA_AIAP_2025"
16,1,735,1,"13","page_number","USA_AIAP_2025"
17,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
17,1,503,12,"projects eligible under the Fixing America’s Surface Transportation Act of 2015. 25","toc_line","USA_AIAP_2025"
17,1,549,15,"and covers development sites consistent with the size of a modern AI data center. 26","toc_line","USA_AIAP_2025"
17,1,622,18,"21 Executive Order 14156 of January 20, 2025, “Declaring a National Energy Emergency,” Federal Register 90 (18) 8433,","footnote_small_type","USA_AIAP_2025"
17,1,632,1,"www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02003.pdf.","url_line","USA_AIAP_2025"
17,1,641,15,"22 Presidential Memorandum of April 15, 2025, “Updating Permitting Technology for the 21 st Century,”","footnote_small_type","USA_AIAP_2025"
17,1,651,1,"www.whitehouse.gov/presidential-actions/2025/04/updating-permitting-technology-for-the-21st-century/.","footnote_small_type","USA_AIAP_2025"
17,1,661,18,"23 Executive Order 14213 of February 14, 2025, “Establishing the National Energy Dominance Council,” Federal Register 90 (33)","footnote_small_type","USA_AIAP_2025"
17,1,671,2,"9945, www.govinfo.gov/content/pkg/FR-2025-02-20/pdf/2025-02928.pdf.","footnote_small_type","USA_AIAP_2025"
17,1,680,18,"24 Executive Order 14255 of March 31, 2025, “Establishing the United States Investment Accelerator,” Federal Register 90 (63)","footnote_small_type","USA_AIAP_2025"
17,1,690,2,"14701, www.govinfo.gov/content/pkg/FR-2025-04-03/pdf/2025-05908.pdf.","footnote_small_type","USA_AIAP_2025"
17,1,700,10,"25 Fixing America’s Surface Transportation Act, 42 U.S.C. §§ 4370m-4370m-11.","footnote_small_type","USA_AIAP_2025"
17,1,710,10,"26 Clean Water Act of 1972, 33 U.S.C. § 1344.","footnote_small_type","USA_AIAP_2025"
17,1,735,1,"14","page_number","USA_AIAP_2025"
18,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
18,1,238,12,"through expanding the number of agencies participating in DOE’s PermitAI project. 29","toc_line","USA_AIAP_2025"
18,1,680,10,"27 Clean Air Act of 1963, 42 U.S.C. §§ 7401-7671q.","footnote_small_type","USA_AIAP_2025"
18,1,690,14,"28 Comprehensive Environmental Response, Compensation, and Liability Act of 1980. 42 U.S.C. §§ 9601-9675.","footnote_small_type","USA_AIAP_2025"
18,1,700,18,"29 Office of Policy, U.S. Department of Energy, “Faster, Better Permitting with PermitAI,” (Washington, D.C., July 10, 2025),","footnote_small_type","USA_AIAP_2025"
18,1,710,1,"www.energy.gov/policy/articles/faster-better-permitting-permitai.","footnote_small_type","USA_AIAP_2025"
18,1,735,1,"15","page_number","USA_AIAP_2025"
19,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
19,1,735,1,"16","page_number","USA_AIAP_2025"
20,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
20,1,735,1,"17","page_number","USA_AIAP_2025"
21,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
21,1,735,1,"18","page_number","USA_AIAP_2025"
22,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
22,1,690,18,"30 Executive Order 14306 of June 6, 2025, “Sustaining Select Efforts To Strengthen the Nation’s Cybersecurity and Amending","footnote_small_type","USA_AIAP_2025"
22,1,700,13,"Executive Order 13694 and Executive Order 14144,” Federal Register 90 (111) 24723, www.govinfo.gov/content/pkg/FR-","footnote_small_type","USA_AIAP_2025"
22,1,710,1,"2025-06-11/pdf/2025-10804.pdf.","footnote_small_type","USA_AIAP_2025"
22,1,735,1,"19","page_number","USA_AIAP_2025"
23,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
23,1,735,1,"20","page_number","USA_AIAP_2025"
24,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
24,1,735,1,"21","page_number","USA_AIAP_2025"
25,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
25,1,735,1,"22","page_number","USA_AIAP_2025"
26,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
26,1,735,1,"23","page_number","USA_AIAP_2025"
27,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
27,1,373,5,"This page intentionally left blank.","sparse_page","USA_AIAP_2025"
27,1,735,1,"24","page_number","USA_AIAP_2025"
28,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
28,1,735,1,"25","page_number","USA_AIAP_2025"
1,1,154,3,"Artificial Intelligence Strategy","sparse_page","DEU_AISTRAT_2018"
1,1,233,3,"Status: November 2018","sparse_page","DEU_AISTRAT_2018"
1,1,793,1,"www.ki-strategie-deutschland.de","running_head","DEU_AISTRAT_2018"
2,1,796,1,"www.ki-strategie-deutschland.de","running_head","DEU_AISTRAT_2018"
2,1,817,1,"2","page_number","DEU_AISTRAT_2018"
3,1,71,1,"Content","toc_page","DEU_AISTRAT_2018"
3,1,133,2,"Foreword 4","toc_page","DEU_AISTRAT_2018"
3,1,139,261,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","toc_page","DEU_AISTRAT_2018"
3,1,172,6,"Summary “AI made in Germany” 6","toc_page","DEU_AISTRAT_2018"
3,1,178,202,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","toc_page","DEU_AISTRAT_2018"
3,1,211,3,"1. Goals 8","toc_page","DEU_AISTRAT_2018"
3,1,217,260,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","toc_page","DEU_AISTRAT_2018"
3,1,250,4,"2. Current situation 10","toc_page","DEU_AISTRAT_2018"
3,1,256,226,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","toc_page","DEU_AISTRAT_2018"
3,1,289,5,"3. Fields of action 12","toc_page","DEU_AISTRAT_2018"
3,1,295,232,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","toc_page","DEU_AISTRAT_2018"
3,1,315,15,"3.1 Strengthening research in Germany and Europe in order to be drivers of innovation 12","toc_page","DEU_AISTRAT_2018"
3,1,321,48,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","toc_page","DEU_AISTRAT_2018"
3,1,341,8,"3.2 Innovation competitions and European innovation clusters 20","toc_page","DEU_AISTRAT_2018"
3,1,347,108,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","toc_page","DEU_AISTRAT_2018"
3,1,367,8,"3.3 Transfer to business, strengthening the Mittelstand 21","toc_page","DEU_AISTRAT_2018"
3,1,373,129,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","toc_page","DEU_AISTRAT_2018"
3,1,393,13,"3.4 Fostering the founding of new businesses and leading them to success 24","toc_page","DEU_AISTRAT_2018"
3,1,399,83,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","toc_page","DEU_AISTRAT_2018"
3,1,419,11,"3.5 World of work and labour market: shaping structural change 25","toc_page","DEU_AISTRAT_2018"
3,1,425,105,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","toc_page","DEU_AISTRAT_2018"
3,1,445,9,"3.6 Strengthening vocational training and attracting skilled labour/experts 29","toc_page","DEU_AISTRAT_2018"
3,1,451,81,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","toc_page","DEU_AISTRAT_2018"
3,1,471,13,"3.7 Using AI for tasks reserved for the state and administrative tasks 31","toc_page","DEU_AISTRAT_2018"
3,1,477,97,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","toc_page","DEU_AISTRAT_2018"
3,1,497,9,"3.8 Making data available and facilitating its use 32","toc_page","DEU_AISTRAT_2018"
3,1,503,145,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","toc_page","DEU_AISTRAT_2018"
3,1,523,6,"3.9 Adapting the regulatory framework 37","toc_page","DEU_AISTRAT_2018"
3,1,529,165,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","toc_page","DEU_AISTRAT_2018"
3,1,549,4,"3.10 Setting standards 39","toc_page","DEU_AISTRAT_2018"
3,1,555,211,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","toc_page","DEU_AISTRAT_2018"
3,1,575,6,"3.11 National and international networking 40","toc_page","DEU_AISTRAT_2018"
3,1,581,158,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","toc_page","DEU_AISTRAT_2018"
3,1,601,17,"3.12 Engaging in dialogue with society and continuing the development of the framework for policy action 43","toc_page","DEU_AISTRAT_2018"
3,1,607,4,". . . .","toc_page","DEU_AISTRAT_2018"
3,1,796,1,"www.ki-strategie-deutschland.de","running_head","DEU_AISTRAT_2018"
3,1,817,1,"3","page_number","DEU_AISTRAT_2018"
4,1,71,1,"Foreword","excluded_section","DEU_AISTRAT_2018"
4,1,120,19,"In this Artificial Intelligence (AI) Strategy, the Federal Government sets out a framework for a holistic policy on the","excluded_section","DEU_AISTRAT_2018"
4,1,133,8,"future development and application of AI in Germany.","excluded_section","DEU_AISTRAT_2018"
4,1,159,18,"In this Strategy, the Federal Government takes particular account firstly of the rapid advances in AI technology and","excluded_section","DEU_AISTRAT_2018"
4,1,172,17,"global changes in production and value chains resulting from new AI technologies. Research and innovation are the","excluded_section","DEU_AISTRAT_2018"
4,1,185,19,"foundations for the AI technologies of the future. Here, Germany is very well positioned due to its excellent, broad-","excluded_section","DEU_AISTRAT_2018"
4,1,198,16,"based research landscape. The Federal Government aims to strengthen Germany as a centre for AI research.","excluded_section","DEU_AISTRAT_2018"
4,1,224,16,"Secondly, the Federal Government is responding to the many signals from the business, science and policy-making","excluded_section","DEU_AISTRAT_2018"
4,1,237,18,"communities that AI should be regarded as a key enabling technology and that lasting investment in applications should","excluded_section","DEU_AISTRAT_2018"
4,1,250,20,"be undertaken or facilitated. We want to help our companies to make better use of the potential of AI technologies","excluded_section","DEU_AISTRAT_2018"
4,1,263,17,"deriving from research so that they can thrive in the face of international competition. The Federal Government","excluded_section","DEU_AISTRAT_2018"
4,1,276,18,"therefore intends to prioritise the funding of AI applications in the business sector, and particularly in small and","excluded_section","DEU_AISTRAT_2018"
4,1,289,2,"medium-sized enterprises.","excluded_section","DEU_AISTRAT_2018"
4,1,315,20,"Thirdly, the Strategy is based on the democratic desire to anchor such a far-reaching technology as AI, which may also","excluded_section","DEU_AISTRAT_2018"
4,1,328,18,"be deployed in sensitive areas of life, in an ethical, legal, cultural and institutional context which upholds fundamental","excluded_section","DEU_AISTRAT_2018"
4,1,341,17,"social values and individual rights and ensures that the technology serves society and individuals. This requires that","excluded_section","DEU_AISTRAT_2018"
4,1,354,17,"future developments, including opportunities and risks, are anticipated as far as is possible, because although AI is","excluded_section","DEU_AISTRAT_2018"
4,1,367,18,"currently coming into our day-to-day lives in the shape of isolated applications of autonomous and smart systems, the","excluded_section","DEU_AISTRAT_2018"
4,1,380,19,"level of expertise and experience with the technology is not yet sufficiently widespread for society to have clarified its","excluded_section","DEU_AISTRAT_2018"
4,1,393,17,"relationship with the technology. The Data Ethics Commission and the Study Commission of the Bundestag which took","excluded_section","DEU_AISTRAT_2018"
4,1,406,19,"up their work a few weeks ago are doing important pioneering work here and will support the Federal Government","excluded_section","DEU_AISTRAT_2018"
4,1,419,3,"by making recommendations.","excluded_section","DEU_AISTRAT_2018"
4,1,445,22,"In order to plan the future approach, the federal cabinet adopted key points for the AI Strategy on 18 July 2018. These","excluded_section","DEU_AISTRAT_2018"
4,1,458,18,"were developed further and fleshed out on the basis of feedback from expert forums and a comprehensive public","excluded_section","DEU_AISTRAT_2018"
4,1,471,13,"consultation process. The results of these processes are documented (in German) at www.ki-strategie-deutschland.de.","excluded_section","DEU_AISTRAT_2018"
