"unit_id","doc_id","jurisdiction","section_path","page_start","word_count","T1_surveillance","T2_executive","T3_infocontrol","T4_civilrights","T5_economic","T6_geopolitical","binding_status","confidence_level","flag_reason","justification"
"DEU_AISTRAT_2018_3FIELDSO_33TRAN_P21_21","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.3 Transfer to business, strengthening the Mittelstand",21,323,0,0,0,0,2,2,"directed","High","Polysemic Uncertainty","""The Federal Government is prepared to work with other European partners to establish and co-finance an Important Project of Common European Interest (IPCEI, pursuant to Art. 107 Treaty on the Functioning of the European Union) in the field of AI"" names a specific European co-financing instrument and treaty basis, which is a formalised cross-border funding mechanism (T6=2), though the Government is only ""considering the launch"". ""The Federal Government will provide targeted support for Mittelstand companies"" and ""will focus on measures enabling German companies of all sizes... to not only use AI applications, but also to develop them"" is committed industrial support (T5=2). No obligation with a consequence attaches to any addressee."
"DEU_AISTRAT_2018_3FIELDSO_THEFED_P23_23","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.3 Transfer to business, strengthening the Mittelstand > The Federal Government wants to help companies establish test beds.",23,308,0,2,0,0,2,1,"directed","High","Polysemic Uncertainty","""With regard to the living labs -- a horizontal instrument creating regulatory sandboxes for a defined period of time and in a set space -- we are planning to launch a general initiative"", and living labs ""make it possible for technologies to be tested... in a real-life setting and for the regulatory environment to be screened for any needs for adjustment"". A sandbox that relaxes specified requirements for enrolled participants within a bounded space and period is the T2=2 anchor exactly. Test beds ""with their own computing capacity and infrastructure for data analysis populated with data from the public sector"" and funded flagship projects are institutional capacity (T5=2). Road shows for Mittelstand companies ""and their international strategic partners"" promoting ""AI made in Germany"" is export framing (T6=1)."
"DEU_AISTRAT_2018_3FIELDSO_THEFED_P26_26","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.5 World of work and labour market: shaping structural change > The Federal Government will establish a German observatory for artificial intelligence and will",26,338,0,0,0,2,2,2,"directed","High","Polysemic Uncertainty","""We will create a German AI observatory tasked with monitoring the uptake and the impact of AI, i.e. with conducting an impact assessment of these technologies"", and ""the Federal Government will examine ways of auditing AI for use in companies... Our goal is to set benchmarks for employment, technical design, human-machine interfaces, health and safety, and data protection"" -- a named standing body plus a stated direction toward auditing benchmarks, which is the T4=2 anchor and stops short of a mandatory audit with a consequence. The observatory itself is funded institutional capacity (T5=2). ""We will work closely with the European Commission and international organisations such as the Organization for Economic Cooperation and Development (OECD) and the International Labour Organization (ILO)"" and support for a French-proposed IPCC-equivalent for AI is participation in named international bodies (T6=2). The observatory monitors the uptake and impact of technology, not individuals."
"DEU_AISTRAT_2018_3FIELDSO_THEFED_P26_26_3","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.5 World of work and labour market: shaping structural change > The Federal Government is initiating a European and transatlantic dialogue on the human-centric",26,340,0,0,0,2,2,0,"proposed","High","Polysemic Uncertainty","""The draft for a Opportunities for Qualifications Act, which was approved by the Federal Cabinet on 19 September 2018, marks an initial step by the Federal Government towards launching a large-scale qualifications and training initiative"", and from 2019 it would fund ""not only... the (partial) cost of the training itself, but also... topping up employees' wages or salaries"", with higher grants for SMEs -- a published draft legislative framework creating a training entitlement for workers ""whose jobs will be taken over by artificial intelligence"" (T4=2: a named instrument in draft, conferring a benefit rather than imposing an obligation with a penalty). The same measure, with the Federal Employment Agency expanding delivery, is funded workforce capacity (T5=2). At 340 words the unit sits just inside the ceiling."
"DEU_AISTRAT_2018_3FIELDSO_THEFED_P26_26_4","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.5 World of work and labour market: shaping structural change > The Federal Government is initiating a European and transatlantic dialogue on the human-centric",26,186,0,0,0,2,2,0,"directed","High","Polysemic Uncertainty","""Given the major importance continuing training has for employees, the Federal Government will strengthen the right of works councils to initiate continuing training"" is a specified change to an existing statutory participation right, which is the T4=2 anchor for an institutional guardrail short of a new obligation with a penalty. The National Further Education Strategy, developed with the social partners and the Laender and ""to be presented to the public in summer 2019"", plus funding ""for measures designed to support SMEs on in-company training"", is committed institutional capacity (T5=2). Attention to ""gender-specific differences and the specific needs of certain groups"" states an equity commitment without a remedy."
"DEU_AISTRAT_2018_3FIELDSO_THEFED_P27_27","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.5 World of work and labour market: shaping structural change > The Federal Government is initiating a European and transatlantic dialogue on the human-centric",27,331,0,0,0,0,2,2,"enacted","High","Polysemic Uncertainty","""The Federal Government has developed the skills monitoring system for labour market projections, which will be the analytical tool underpinning our new Skilled Labour Strategy"" is an existing analytical instrument feeding a named national strategy (T5=2, enacted). The strategy's second and third legs are explicitly cross-border: reducing obstacles ""with regard to the recognition of diplomas, certificates and other educational and professional qualifications"" for movement between EU Member States, and adjusting ""the legal framework by adopting a Skilled Labour Immigration Act"" to attract professionals from third countries, for which ""the Federal Government has laid the basis by adopting the Key Points Paper on skilled immigration from third countries"" -- named instruments for international talent competition (T6=2). The monitoring produces labour-market projections about sectors and skills, not about identified individuals."
"DEU_AISTRAT_2018_3FIELDSO_THEFED_P27_28","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.5 World of work and labour market: shaping structural change > The Federal Government will safeguard the right to co-determination, including where the introduction",27,423,0,0,0,3,1,0,"enacted","High","Missing Operational Context","Theme 4 reaches 3 on all three Score-3 conditions. Instrument: the Works Constitution Act, an enacted statute, plus a specified amendment -- ""Section 90 of the Works Constitution Act will be amended to clarify that the measures listed therein include the use or intended use of AI applications"". Addressee: employers introducing AI applications, who must involve works councils. Consequence: a legally enforceable co-determination right that constrains deployment -- ""as part of their co-determination rights as per the Works Constitution Act, works councils can already have a say when it comes to the use of AI for the purpose of monitoring employees' performance"", and ""Section 95... stipulates that works councils have a right to co-determine the selection criteria used for recruiting, re-assigning, promoting/demoting and laying off workers"". A prospective Workers' Data Protection Act is explored but not relied on for the score. The workplace monitoring described is conducted by employers and is the object of the protection, not a state programme, so Theme 1 is not engaged. At 423 words the unit exceeds the ceiling and is flagged."
"DEU_AISTRAT_2018_3FIELDSO_36STRE_P29_29","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.6 Strengthening vocational training and attracting skilled labour/experts",29,358,0,0,0,1,1,0,"proposed","High","Missing Operational Context","The unit reports what the consultation confirmed rather than what the Government will do: recommendations ""to treat AI as an inter-disciplinary subject at universities and to provide more funding for the establishment of professorships in AI"", and the need for basic digital skills ""to be taught across Germany and from an early age"" with ""needs-based equipment"" for training institutions (T5=1: stakeholder recommendations, no committed programme in this unit). The position that vocational syllabi ""should be about bringing about informed, self-determined individuals who know how to deal with both the technical as well as the ethical, social, and societal aspects of AI"" and that ""AI teaching should place a stronger focus on ethical questions"" is a values statement without an instrument (T4=1). At 358 words the unit exceeds the ceiling."
"DEU_AISTRAT_2018_3FIELDSO_36STRE_P30_30","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.6 Strengthening vocational training and attracting skilled labour/experts",30,268,0,2,0,0,2,0,"proposed","Moderate","Polysemic Uncertainty","""Under its Digital Pact for Schools programme, the Federal Government will provide funding in this legislative term for the digital infrastructure needed across all German schools"" and Learning Factories 4.0 could ""be rolled out more widely and be extended to include AI"" (T5=2: a named funding programme with defined scope). Critically, ""in order for the Federal Government to be able to provide this kind of funding nationwide, an amendment of Article 104c of the German Basic Law is required"" -- a constitutional change that would shift competence over school funding from the Laender toward the Federation, which is centralisation of federal executive competence rather than a bypass of an existing review, so it registers at the T2=2 anchor. Confidence is Moderate because Theme 2's anchors are written around exemptions and overrides rather than around federal-state competence shifts, and this is a boundary case worth PI attention."
"DEU_AISTRAT_2018_3FIELDSO_38MAKI_P32_33","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.8 Making data available and facilitating its use",32,324,0,0,0,1,2,2,"directed","High","Polysemic Uncertainty","""We will therefore consider establishing and managing a centralised, national, trustworthy, openly accessible data and analysis infrastructure and building a cloud platform with upgradable storage and computing capacity"", through ""a joint venture including representatives from business, science and the public sector based on open and interoperable standards"" (T5=2: a specified national infrastructure with a defined governance form). ""We will work closely with the European Commission to help implement and continue the initiative on building a European data space"", including the review of ""the EU's Public-Sector Information Directive, which is about to be implemented"" -- a formalised cross-border data framework with a named instrument (T6=2). ""In conformity with data protection law"" references existing law (T4=1). ""The goal is to ensure technological sovereignty"" names no exclusion or control mechanism, so Theme 6 does not reach 3."
"DEU_AISTRAT_2018_3FIELDSO_WESEEK_P34_35","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.8 Making data available and facilitating its use > We seek to provide high-performance infrastructure to improve the accessibility of Earth observation",34,336,0,0,0,2,2,1,"directed","High","Polysemic Uncertainty","""We will encourage the provision of targeted funding at EU level for research and development in the areas of anonymisation, use of synthetic data and 'small data', and explore possibilities to provide funding for this at national level"", with ""methods designed to reduce the required amounts of data for training and using AI systems in a way that conforms with data protection rules"" described as ""of strategic importance"" -- a funded privacy-technology research programme, which is the T4=2 anchor. ""We are driving forward the expansion of high-performance computing resources, storage and network capacity in order to allow for data transfer speeds of 100 gigabits per second"" is committed compute infrastructure (T5=2). EU-level funding advocacy is engagement framing (T6=1). Earth observation and geodata, including citizen science and social media layers, are analysed for geospatial and environmental purposes, so the Theme 1 purpose test is not met."
"DEU_AISTRAT_2018_3FIELDSO_WESEEK_P36_36","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.8 Making data available and facilitating its use > We seek to provide high-performance infrastructure to improve the accessibility of Earth observation",36,281,0,0,0,2,2,0,"directed","High","Polysemic Uncertainty","""We will invite data protection authorities and business associations for a round table and work together to develop joint guidelines for developing and using AI systems in a way that is compatible with data protection rules"", supported by ""targeted funding"" for ""methods and procedures that ensure anonymisation and... the use of pseudonymised and synthetic data"" and ""a regular dialogue on specific AI use cases between businesses, scientists and data protection authorities"" -- a named institutional privacy mechanism with a funded technical arm (T4=2). Research on ""the exchange and interoperability of industrial data"" and technical standards for data formats and interfaces is industrial capacity (T5=2). The industrial data at issue is expressly non-personal."
"DEU_AISTRAT_2018_3FIELDSO_39ADAP_P37_37","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.9 Adapting the regulatory framework",37,405,0,0,0,2,2,1,"directed","High","Polysemic Uncertainty","""The Federal Government will review whether our legal framework covers all aspects related to algorithm-based and AI-based decisions, services and products and, if necessary, adapt it in order to make it possible to verify whether there is any undue discrimination or bias"", and it ""advocates using an 'ethics by, in and for design' approach throughout all development stages"" and will ask ""hardware and software producers for adequate commitments that respect the principle of security by design"" -- a stated direction of regulatory travel plus design obligations sought by request rather than imposed (T4=2). Existing medical IT funding for university hospitals and data pooling is a funded programme (T5=2). ""'AI made in Europe'"" is competitiveness framing (T6=1). At 405 words the unit exceeds the ceiling and is flagged."
"DEU_AISTRAT_2018_3FIELDSO_39ADAP_P37_37_3","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.9 Adapting the regulatory framework",37,331,0,0,0,2,1,2,"directed","High","Polysemic Uncertainty","""The recommendations made by the Data Ethics Commission will be taken into account. The Commission has stated that the use of data and AI algorithms needs to be documented in a transparent manner"", and the Government ""will review, and if necessary adapt, the legal framework governing the use of non-personal data and AI technology"" and ""will promote the application of the European and national legal frameworks governing personal data and verify whether there are loopholes for algorithms or AI applications"" -- a named standing body's documentation requirement plus a committed legal review, which is the T4=2 anchor. ""The Federal Government is engaging in dialogue with national and international bodies, including the Data Ethics Commission or the EU Commission's High-Level Expert Group on AI and will take into account the recommendations of these bodies as it develops standards on ethical aspects at German and European level"" is participation in named international governance bodies (T6=2). The GDPR is cited as having entered into force with ""high data protection standards"" but its obligations are not the mechanism this unit creates (T5=1)."
"DEU_AISTRAT_2018_3FIELDSO_39ADAP_P38_38_2","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.9 Adapting the regulatory framework",38,151,0,0,0,2,1,0,"proposed","High","Conflicting Statutory Mandates","""The Federal Government examines the possibility to establish and/or expand government agencies or private-sector auditing institutions that verify algorithmic decision-making"", with ""auditing standards... to be introduced and impact assessment standards developed"", and ""it should be possible to require companies to disclose all elements of the AI / Algorithmic Decision-Making (ADM) process to the monitoring bodies"". An addressee (companies) and a consequence (compulsory disclosure to a monitoring body) are both present, but the instrument is only a possibility under examination and the auditing bodies are not identified, so the first Score-3 condition fails: two of three are met, Theme 4 is capped at 2, and the unit is flagged per codebook 2.2. Involving ""all stakeholders, including industry"" in developing monitoring procedures is institutional process (T5=1)."
"DEU_AISTRAT_2018_3FIELDSO_THEFED_P39_39","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.9 Adapting the regulatory framework > The Federal Government is providing funding for the development of innovative applications that",39,225,0,0,0,2,2,0,"directed","High","Polysemic Uncertainty","""The Federal Government is providing funding for the development of innovative applications that support self-determination, social inclusion, cultural participation and the protection of citizens' privacy"", using ""existing funding instruments -- in the context of their respective purposes -- for example consumer protection instruments"", and it advocates specifying ""'decent work by design'"" and integrating it ""into a 'digital bill of rights'"" (T4=2: a funded privacy and self-determination programme plus a named prospective rights instrument still at the discussion stage). The funding instruments themselves are economic capacity (T5=2). The requirement that skilled staff ""be able to verify and, if necessary, correct the work of an AI system"" is stated as a design need, not an obligation with a consequence."
"DEU_AISTRAT_2018_3FIELDSO_310SET_P39_40","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.10 Setting standards",39,276,0,1,0,1,2,2,"directed","High","Polysemic Uncertainty","""The Federal Government sees it as its duty to set the national regulatory framework for business and therefore to advocate the development of standards at national, European and international level by the national standardisation organisations (DIN/DKE)"", and it ""is looking at the possibility to provide funding for experts, particularly from SMEs and start-ups, so they can take part in international standardisation processes"" -- funded participation in international standard-setting, which is the T6=2 anchor. The proposed funding tool and the market-access rationale are industrial capacity (T5=2). ""Standards also help ensure an adequate and flexible regulatory framework"" and the position that ""developing standards is primarily up to the private sector, not the state"" states a light-touch regulatory posture (T2=1); ""ethical standards ('ethics by design')"" is a stated standardisation priority without an obligation (T4=1). Binding healthcare standards are raised only as a possibility to be examined."
"DEU_AISTRAT_2018_3FIELDSO_WORKMO_P41_41","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.11 National and international networking > Work more closely with the EU institutions, particularly with the European Commission and the",41,294,0,1,0,0,2,2,"directed","High","Polysemic Uncertainty","""Work more closely with the EU institutions, particularly with the European Commission and the Member States on developing the framework governing the use of AI on the Digital Single Market and for implementing the European AI strategy"", including ""integrating the national centres of excellence into a European network of centres of excellence"" and encouraging EU funding under ""Horizon Europe Programme, Digital Europe, and the European Social Fund"" -- named cross-border programmes and funding instruments (T6=2), which are simultaneously funded domestic research capacity (T5=2). ""As a general rule, it should be reviewed as to whether existing tools and regulations can be adapted/enhanced to include AI technology, before new tools or regulations are developed"" states a presumption against new regulation without creating any exemption (T2=1)."
"IND_NAIS_2018_EXECUTIV_INDIAS_P08_08","IND_NAIS_2018","India","Executive Summary > India’s Approach to Leadership in AI",8,339,0,0,0,0,2,2,"proposed","High","Polysemic Uncertainty","An umbrella research organisation, ""moonshot research projects"", ""common computing and other related infrastructure for AI"", reskilling mechanisms and a ""National AI Marketplace (NAIM)"" are proposed institutions and infrastructure with defined functions (T5=2). ""Development of a dedicated supranational agency to channel research in solving big, audacious problems of AI -- 'CERN for AI'"", together with ""encouraging international collaboration"", proposes a named cross-border research institution, which is the T6=2 anchor for a formalised international research structure. Both remain proposals in a discussion paper, so binding_status is proposed."
"IND_NAIS_2018_EXECUTIV_INDIAS_P08_08_2","IND_NAIS_2018","India","Executive Summary > India’s Approach to Leadership in AI",8,347,0,0,0,2,2,1,"proposed","High","Polysemic Uncertainty","""A consortium of Ethics Councils at each Centre of Research Excellence can be set up and it would be expected that all COREs adhere to standard practice"", and ""the paper suggests establishing data protection frameworks and sectorial regulatory frameworks, and promotion of adoption of international standards"", against named risks including ""data usage without consent, risk of identification of individuals through data, data selection bias and the resulting discrimination of AI models"" -- proposed institutional governance with defined content but no enumerated obligations or penalties, which is the T4=2 anchor. IP facilitation centres and training for ""IP granting authorities, judiciary and tribunals"" are proposed institutional capacity (T5=2). Adoption of international standards is soft alignment (T6=1). At 347 words the unit sits inside the ceiling."
"IND_NAIS_2018_WHATISAR_ATECHN_P08_12","IND_NAIS_2018","India","What is Artificial Intelligence? > A technical primer",8,418,0,0,0,0,1,1,"proposed","High","Missing Operational Context","The unit closes the executive summary with a comparative note -- ""Governments in USA, UK, France, Japan and China have released their policy and strategy papers relating to AI"" -- and then opens a technical primer describing AI capabilities and investment forecasts (T5=1: market context and a call to release a strategy paper, with no programme or budget). ""In order to establish a leadership role, it is important for India to take the plunge"" is competitiveness framing (T6=1). At 418 words the unit exceeds the 350-word ceiling and is flagged; it also spans a section boundary between the executive summary and the primer."
"IND_NAIS_2018_HEALTHCA_THROUG_P26_26","IND_NAIS_2018","India","Healthcare > Through the Ayushman Bharat programme announced in Union Budget 2018, probably the world’s",26,389,1,0,0,0,2,0,"enacted","Moderate","Missing Operational Context","""Through the Ayushman Bharat programme announced in Union Budget 2018... the Government of India has embarked on a path breaking journey"", providing ""insurance cover of INR 5 lakh per family per year"" to ""more than 10 crore families"", alongside ""a commitment of ~INR1,200 crore for Health and Wellness Centres"" transforming 1.5 lakh Health Sub Centres from 2018 to 2022 (T5=2, enacted -- budgeted programmes at national scale). Beneficiaries are identified ""based on the SECC database"", a state population database governing access to a major benefit: that is data aggregation about identified individuals used for eligibility determination, which registers on Theme 1 at the level of a named capability with no monitoring or control purpose stated (T1=1). Confidence is Moderate because eligibility conferral sits at the edge of the Theme 1 purpose test. At 389 words the unit exceeds the ceiling and is flagged."
"IND_NAIS_2018_EDUCATIO_PRADES_P38_38","IND_NAIS_2018","India","Education > Pradesh",38,127,0,0,0,0,2,0,"enacted","Moderate","Polysemic Uncertainty","""The AP government... has tied up with Microsoft"" so that ""based on specific parameters, such as gender, socio-economic demographics, academic performance, school infrastructure and teacher skills, an application powered by Azure Machine Learning processes the data pertaining to all students to find predictive patterns"", and it ""has identified about 19,500 probable dropouts from government schools in Visakhapatnam district"" -- an operating state deployment at documented scale (T5=2, enacted). This is the case the Theme 1 purpose test (codebook 2.0.1) was written for: the state scores every student on protected characteristics, but the stated consequence is that ""district education officials can intervene and help students who are most likely to drop out"", a benefit to the person scored, so it falls to Theme 5. Flagged manually for adjudication because the profiling is population-scale and uses gender and socio-economic status, with no safeguard described."
"IND_NAIS_2018_SMARTCIT_P39_39_2","IND_NAIS_2018","India","Smart Cities and Infrastructure",39,300,2,0,0,0,2,0,"enacted","Moderate","Polysemic Uncertainty","The unit contains both kinds of monitoring and is dual-coded. Smart electricity and water meters, leakage detection and waste management observe utilities and distribution networks -- things -- within operating smart-city programmes (T5=2, enacted). ""Improving public safety: Cities in India today are hotbeds for a range of crimes. Smart cities aim to address the issues of increase in crime and increased risk of urban emergencies through improved city design and surveillance analytics"", evidenced by Surat's network of ""more than 600 surveillance cameras which will be expanded to all major locations in the city"", observes people (T1=2). Under codebook v1 the smart-municipal-grid boundary would have routed the camera network to Theme 5; the v2 boundary clarification reverses that. Flagged on the mandatory T1 trigger."
"IND_NAIS_2018_SMARTCIT_P40_40_2","IND_NAIS_2018","India","Smart Cities and Infrastructure",40,124,2,0,1,0,1,0,"enacted","High","Polysemic Uncertainty","""AI technology could provide safety through smart command centres with sophisticated surveillance systems that could keep checks on people's movement, potential crime incidents, and general security of the residents"", and ""in the city of Surat, the crime rate has declined by 27% after the implementation of AI powered safety systems"" -- the outcome claim establishes that the system is operating, not proposed, which is the T1=2 anchor (binding_status enacted). ""Social media intelligence platforms can provide aid to public safety by gathering information from social media and predicting potential activities that could disrupt public peace"" is state monitoring of the public information space without any removal, labelling or platform obligation (T3=1). Cyber-attack detection protects infrastructure integrity and is Theme 5 baseline (T5=1). Flagged on the mandatory T1 trigger."
